Código do Programa,Programa,Nome,Área de Concentração,Data de Início,Data de Fim
41006011006P6,DESENVOLVIMENTO REGIONAL,"ESTADO, SOCIEDADE E DESENVOLVIMENTO NO TERRITÓRIO",DESENVOLVIMENTO REGIONAL SUSTENTAVEL,01/01/2000,-
41006011007P2,CIÊNCIAS CONTÁBEIS,CONTABILIDADE FINANCEIRA,CONTROLADORIA,01/01/2005,-
41006011007P2,CIÊNCIAS CONTÁBEIS,CONTABILIDADE GERENCIAL,CONTROLADORIA,01/01/2005,-
41006011007P2,CIÊNCIAS CONTÁBEIS,ESTRATÉGIA DE COMPETITIVIDADE,GESTÃO DAS ORGANIZAÇÕES,01/01/2008,-
41006011008P9,ENGENHARIA ELÉTRICA,ELETRÔNICA INDUSTRIAL,SISTEMAS DE ENERGIA,06/02/2006,-
41006011008P9,ENGENHARIA ELÉTRICA,ELETROMAGNETISMO APLICADO E TELECOMUNICAÇÕES,SISTEMAS DE ENERGIA,06/02/2006,-
41006011008P9,ENGENHARIA ELÉTRICA,SISTEMAS ELÉTRICOS DE POTÊNCIA,SISTEMAS DE ENERGIA,06/02/2006,-
41006011009P5,ENGENHARIA QUÍMICA,"MODELAGEM, SIMULAÇÃO, CONTROLE E OTIMIZAÇÃO DE PROCESSOS",DESENVOLVIMENTO DE PROCESSOS,01/03/2008,-
41006011009P5,ENGENHARIA QUÍMICA,"PROCESSOS DA INDÚSTRIA DE PETRÓLEO, GÁS E COMBUSTÍVEIS ALTERNATIVOS",DESENVOLVIMENTO DE PROCESSOS,01/03/2008,-
41006011009P5,ENGENHARIA QUÍMICA,PROCESSOS DA ENGENHARIA BIOQUÍMICA E DE ALIMENTOS,DESENVOLVIMENTO DE PROCESSOS,01/03/2008,-
41006011010P3,Ensino de Ciências Naturais e Matemática,FORMAÇÃO E PRÁTICAS DOCENTES EM CONTEXTOS DE ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA,ENSINO E APRENDIZAGEM DE CIÊNCIAS E MATEMÁTICA,07/05/2018,-
41006011010P3,Ensino de Ciências Naturais e Matemática,RECURSOS EDUCACIONAIS PARA O ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA,ENSINO E APRENDIZAGEM DE CIÊNCIAS E MATEMÁTICA,27/06/2023,-
41006011011P0,Engenharia Florestal,SILVICULTURA E MANEJO DE RECURSOS FLORESTAIS,CONSERVAÇÃO E PRODUÇÃO FLORESTAL,01/01/2011,-
41006011011P0,Engenharia Florestal,CONSERVAÇÃO E RESTAURAÇÃO DE ECOSSISTEMAS FLORESTAIS,CONSERVAÇÃO E PRODUÇÃO FLORESTAL,01/01/2011,-
41006011012P6,Saúde Coletiva,PROMOÇÃO À SAÚDE E INTEGRALIDADE DO CUIDADO - NOVA,"POLÍTICAS PÚBLICAS, EPIDEMIOLOGIA E CUIDADO EM SAÚDE",01/01/2024,-
41006011012P6,Saúde Coletiva,"EDUCAÇÃO, COMUNIDADE E PROCESSO DE TRABALHO EM SAÚDE","CUIDADO, EDUCAÇÃO E TRABALHO",01/01/2013,-
41006011012P6,Saúde Coletiva,PROMOÇÃO À SAÚDE E INTEGRALIDADE DO CUIDADO,"CUIDADO, EDUCAÇÃO E TRABALHO",01/01/2013,-
41006011012P6,Saúde Coletiva,EPIDEMIOLOGIA DE SERVIÇOS DE SAÚDE,"CUIDADO, EDUCAÇÃO E TRABALHO",01/01/2013,-
41006011012P6,Saúde Coletiva,EPIDEMIOLOGIA,"POLÍTICAS PÚBLICAS, EPIDEMIOLOGIA E CUIDADO EM SAÚDE",01/01/2024,-
41006011012P6,Saúde Coletiva,POLÍTICAS PÚBLICAS E PROCESSOS DE TRABALHO EM SAÚDE,"POLÍTICAS PÚBLICAS, EPIDEMIOLOGIA E CUIDADO EM SAÚDE",01/01/2024,-
41006011015P5,DIREITO,JURISDIÇÃO CONSTITUCIONAL E DIREITOS FUNDAMENTAIS,Direito Público e Constitucionalismo,17/12/2020,-
41006011013P2,ENGENHARIA ELÉTRICA,ELETRÔNICA INDUSTRIAL,SISTEMAS DE ENERGIA,03/04/2017,-
41006011013P2,ENGENHARIA ELÉTRICA,SISTEMAS ELÉTRICOS DE POTÊNCIA,SISTEMAS DE ENERGIA,03/04/2017,-
41006011014P9,BIODIVERSIDADE,CONSERVAÇÃO E USO SUSTENTÁVEL DA BIODIVERSIDADE,Biodiversidade,02/08/2019,-
41006011014P9,BIODIVERSIDADE,SISTEMÁTICA E DIVERSIDADE BIOLÓGICA,Biodiversidade,02/08/2019,-
41006011015P5,DIREITO,ESTADO DEMOCRÁTICO E POLÍTICA CONSTITUCIONAL.,Direito Público e Constitucionalismo,17/12/2020,-
41006011002P0,ADMINISTRAÇÃO,GESTÃO ESTRATÉGICA E INTERNACIONALIZAÇÃO DE ORGANIZAÇÕES,Estratégia e Competitividade das Organizações,01/01/2017,-
41006011002P0,ADMINISTRAÇÃO,GESTÃO DA INOVAÇÃO E DE OPERAÇÕES,Estratégia e Competitividade das Organizações,01/01/2017,-
41006011003P7,ENGENHARIA AMBIENTAL,TECNOLOGIAS E GESTÃO DE RESÍDUOS,TECNOLOGIA E GESTÃO AMBIENTAL,01/01/2013,-
41006011003P7,ENGENHARIA AMBIENTAL,GESTÃO DE AMBIENTES NATURAIS E CONSTRUÍDOS,TECNOLOGIA E GESTÃO AMBIENTAL,01/01/2013,-
41006011004P3,EDUCAÇÃO,"FORMAÇÃO DE PROFESSORES, POLÍTICAS E PRÁTICAS EDUCATIVAS",EDUCAÇÃO,12/04/2017,-
41006011004P3,EDUCAÇÃO,"LINGUAGENS, ARTE E EDUCAÇÃO",EDUCAÇÃO,12/04/2017,-
41006011004P3,EDUCAÇÃO,"EDUCAÇÃO, DINÂMICAS SOCIAIS E DIVERSIDADES",EDUCAÇÃO,01/01/2023,-
41006011005P0,QUÍMICA,"DESENVOLVIMENTO, MELHORAMENTO, PROCESSAMENTO E APLICAÇÃO DE MATERIAIS E NANOMATERIAIS",QUÍMICA,01/01/2023,-
41006011005P0,QUÍMICA,VALORIZAÇÃO DE BIOMASSA E RESÍDUOS E TRATAMENTO DE EFLUENTES,QUÍMICA,01/01/2023,-
41006011005P0,QUÍMICA,DESENVOLVIMENTO E AVALIAÇÃO DE MÉTODOS ANALÍTICOS.,QUÍMICA,01/01/2023,-
41006011005P0,QUÍMICA,"SÍNTESE, ISOLAMENTO, CARACTERIZAÇÃO E AVALIAÇÃO DAS PROPRIEDADES DE COMPOSTOS NATURAIS E SINTÉTICOS",QUÍMICA,01/01/2023,-
41006011006P6,DESENVOLVIMENTO REGIONAL,DINAMICAS SOCIOECONOMICAS NO TERRITORIO,DESENVOLVIMENTO REGIONAL SUSTENTAVEL,01/01/2000,-
41006011006P6,DESENVOLVIMENTO REGIONAL,"ESTADO, SOCIEDADE E DESENVOLVIMENTO NO TERRITÓRIO",DESENVOLVIMENTO REGIONAL SUSTENTAVEL,01/01/2000,-
41006011007P2,CIÊNCIAS CONTÁBEIS,CONTABILIDADE FINANCEIRA,CONTROLADORIA,01/01/2005,-
41006011007P2,CIÊNCIAS CONTÁBEIS,CONTABILIDADE GERENCIAL,CONTROLADORIA,01/01/2005,-
41006011007P2,CIÊNCIAS CONTÁBEIS,ESTRATÉGIA DE COMPETITIVIDADE,GESTÃO DAS ORGANIZAÇÕES,01/01/2008,-
41006011008P9,ENGENHARIA ELÉTRICA,ELETRÔNICA INDUSTRIAL,SISTEMAS DE ENERGIA,06/02/2006,-
41006011008P9,ENGENHARIA ELÉTRICA,ELETROMAGNETISMO APLICADO E TELECOMUNICAÇÕES,SISTEMAS DE ENERGIA,06/02/2006,-
41006011008P9,ENGENHARIA ELÉTRICA,SISTEMAS ELÉTRICOS DE POTÊNCIA,SISTEMAS DE ENERGIA,06/02/2006,-
41006011009P5,ENGENHARIA QUÍMICA,"MODELAGEM, SIMULAÇÃO, CONTROLE E OTIMIZAÇÃO DE PROCESSOS",DESENVOLVIMENTO DE PROCESSOS,01/03/2008,-
41006011009P5,ENGENHARIA QUÍMICA,"PROCESSOS DA INDÚSTRIA DE PETRÓLEO, GÁS E COMBUSTÍVEIS ALTERNATIVOS",DESENVOLVIMENTO DE PROCESSOS,01/03/2008,-
41006011009P5,ENGENHARIA QUÍMICA,PROCESSOS DA ENGENHARIA BIOQUÍMICA E DE ALIMENTOS,DESENVOLVIMENTO DE PROCESSOS,01/03/2008,-
41006011010P3,Ensino de Ciências Naturais e Matemática,FORMAÇÃO E PRÁTICAS DOCENTES EM CONTEXTOS DE ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA,ENSINO E APRENDIZAGEM DE CIÊNCIAS E MATEMÁTICA,07/05/2018,-
41006011010P3,Ensino de Ciências Naturais e Matemática,RECURSOS EDUCACIONAIS PARA O ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA,ENSINO E APRENDIZAGEM DE CIÊNCIAS E MATEMÁTICA,27/06/2023,-
41006011011P0,Engenharia Florestal,SILVICULTURA E MANEJO DE RECURSOS FLORESTAIS,CONSERVAÇÃO E PRODUÇÃO FLORESTAL,01/01/2011,-
41006011011P0,Engenharia Florestal,CONSERVAÇÃO E RESTAURAÇÃO DE ECOSSISTEMAS FLORESTAIS,CONSERVAÇÃO E PRODUÇÃO FLORESTAL,01/01/2011,-
41006011012P6,Saúde Coletiva,PROMOÇÃO À SAÚDE E INTEGRALIDADE DO CUIDADO - NOVA,"POLÍTICAS PÚBLICAS, EPIDEMIOLOGIA E CUIDADO EM SAÚDE",01/01/2024,-
41006011012P6,Saúde Coletiva,"EDUCAÇÃO, COMUNIDADE E PROCESSO DE TRABALHO EM SAÚDE","CUIDADO, EDUCAÇÃO E TRABALHO",01/01/2013,-
41006011012P6,Saúde Coletiva,PROMOÇÃO À SAÚDE E INTEGRALIDADE DO CUIDADO,"CUIDADO, EDUCAÇÃO E TRABALHO",01/01/2013,-
41006011012P6,Saúde Coletiva,EPIDEMIOLOGIA DE SERVIÇOS DE SAÚDE,"CUIDADO, EDUCAÇÃO E TRABALHO",01/01/2013,-
41006011012P6,Saúde Coletiva,EPIDEMIOLOGIA,"POLÍTICAS PÚBLICAS, EPIDEMIOLOGIA E CUIDADO EM SAÚDE",01/01/2024,-
41006011012P6,Saúde Coletiva,POLÍTICAS PÚBLICAS E PROCESSOS DE TRABALHO EM SAÚDE,"POLÍTICAS PÚBLICAS, EPIDEMIOLOGIA E CUIDADO EM SAÚDE",01/01/2024,-
41006011015P5,DIREITO,JURISDIÇÃO CONSTITUCIONAL E DIREITOS FUNDAMENTAIS,Direito Público e Constitucionalismo,17/12/2020,-
41006011013P2,ENGENHARIA ELÉTRICA,ELETRÔNICA INDUSTRIAL,SISTEMAS DE ENERGIA,03/04/2017,-
41006011013P2,ENGENHARIA ELÉTRICA,SISTEMAS ELÉTRICOS DE POTÊNCIA,SISTEMAS DE ENERGIA,03/04/2017,-
41006011014P9,BIODIVERSIDADE,CONSERVAÇÃO E USO SUSTENTÁVEL DA BIODIVERSIDADE,Biodiversidade,02/08/2019,-
41006011014P9,BIODIVERSIDADE,SISTEMÁTICA E DIVERSIDADE BIOLÓGICA,Biodiversidade,02/08/2019,-
41006011015P5,DIREITO,ESTADO DEMOCRÁTICO E POLÍTICA CONSTITUCIONAL.,Direito Público e Constitucionalismo,17/12/2020,-
20001010003P6,POLÍTICAS PÚBLICAS,"ESTADO, QUESTÃO URBANA E POLÍTICAS PÚBLICAS",POLÍTICAS PÚBLICAS E MOVIMENTOS SOCIAIS,01/01/2001,-
20001010003P6,POLÍTICAS PÚBLICAS,AVALIAÇÃO DE POLÍTICAS E PROGRAMAS SOCIAIS,POLÍTICAS SOCIAIS E PROGRAMAS SOCIAIS,01/01/2001,-
20001010003P6,POLÍTICAS PÚBLICAS,"VIOLÊNCIA, FAMÍLIA, CRIANÇA, IDOSO E GÊNERO",POLÍTICAS SOCIAIS E PROGRAMAS SOCIAIS,01/01/2001,-
20001010003P6,POLÍTICAS PÚBLICAS,"ESTADO, TRABALHO E POLÍTICAS PÚBLICAS",POLÍTICAS PÚBLICAS E MOVIMENTOS SOCIAIS,01/01/2001,-
20001010003P6,POLÍTICAS PÚBLICAS,"DESENVOLVIMENTO, QUESTÃO AGRÍCOLA E AGRÁRIA E MEIO AMBIENTE",POLÍTICAS PÚBLICAS E MOVIMENTOS SOCIAIS,01/01/2001,-
20001010003P6,POLÍTICAS PÚBLICAS,"ESTADO, CULTURA E POLÍTICAS PÚBLICAS",POLÍTICAS PÚBLICAS E MOVIMENTOS SOCIAIS,01/01/2001,-
20001010003P6,POLÍTICAS PÚBLICAS,POLÍTICA SOCIAL E SERVIÇO SOCIAL,POLÍTICAS SOCIAIS E PROGRAMAS SOCIAIS,01/01/2001,-
20001010003P6,POLÍTICAS PÚBLICAS,"SEGURIDADE SOCIAL: POLÍTICA DE SAÚDE, POLÍTICA DE ASSISTÊNCIA SOCIAL E PREVIDÊNCIA SOCIAL",POLÍTICAS SOCIAIS E PROGRAMAS SOCIAIS,01/01/2001,-
20001010003P6,POLÍTICAS PÚBLICAS,DIREITOS FUNDAMENTAIS E POLÍTICAS PÚBLICAS,POLÍTICAS PÚBLICAS E MOVIMENTOS SOCIAIS,01/01/2015,-
20001010004P2,QUÍMICA,"QUÍMICA DE PRODUTOS NATURAIS, OBTENÇÃO, APLICAÇÃO DE COMPOSTOS E QUÍMICA COMPUTACIONAL",QUÍMICA,01/01/2025,-
20001010004P2,QUÍMICA,"QUÍMICA DE MATERIAIS, INTERFACES E SUPERFÍCIES",QUÍMICA,01/01/2025,-
20001010004P2,QUÍMICA,"ESTUDOS AVANÇADOS EM QUÍMICA ANALÍTICA, SISTEMAS ELETROQUÍMICOS E FOTOELETROQUÍMICOS",QUÍMICA,01/01/2025,-
20001010005P9,Engenharia Elétrica,"PLANEJAMENTO, OPERAÇÃO E OTIMIZAÇÃO DE SISTEMAS ELÉTRICOS INTELIGENTES",SISTEMAS DE ENERGIA ELETRICA,01/01/2012,-
20001010005P9,Engenharia Elétrica,PROCESSAMENTO ANALÓGICO E DIGITAL DE SINAIS.,AUTOMACAO E CONTROLE,01/01/2012,-
20001010005P9,Engenharia Elétrica,"MODELAGEM, ANÁLISE E CONTROLE DE SISTEMAS DINÂMICOS.",AUTOMACAO E CONTROLE,01/01/2012,-
20001010005P9,Engenharia Elétrica,ENGENHARIA DE SOFTWARE E PROCESSAMENTO DISTRIBUÍDO.,CIENCIA DA COMPUTACAO,01/01/2012,-
20001010005P9,Engenharia Elétrica,COMPUTAÇÃO GRÁFICA,CIENCIA DA COMPUTACAO,01/01/2012,-
20001010005P9,Engenharia Elétrica,CONTROLE MULTIVARIÁVEL E PROGRAMAÇÃO DINÂMICA ADAPTATIVA,AUTOMACAO E CONTROLE,01/11/2021,-
20001010005P9,Engenharia Elétrica,"CIDADES INTELIGENTES, APLICAÇÕES DE IOT E COMPUTAÇÃO UBÍQUA",CIENCIA DA COMPUTACAO,03/01/2021,-
20001010005P9,Engenharia Elétrica,PLANEJAMENTO E INTEGRAÇÃO DE FONTES RENOVÁVEIS EM SISTEMAS ELÉTRICOS INTELIGENTES,SISTEMAS DE ENERGIA ELETRICA,01/01/2018,-
20001010006P5,SAÚDE E AMBIENTE,SAÚDE ÚNICA,Saúde e Ambiente,01/01/2023,-
20001010006P5,SAÚDE E AMBIENTE,QUALIDADE AMBIENTAL E SUSTENTABILIDADE,Saúde e Ambiente,01/01/2023,-
20001010008P8,EDUCAÇÃO,"DIVERSIDADE, CULTURA E INCLUSÃO SOCIAL",EDUCAÇÃO,15/05/2016,-
20001010008P8,EDUCAÇÃO,"INSTITUIÇÕES EDUCATIVAS, CURRÍCULO, FORMAÇÃO E TRABALHO DOCENTE",Políticas e Práticas Educativas,12/03/2019,-
20001010008P8,EDUCAÇÃO,"HISTÓRIA, POLÍTICAS EDUCACIONAIS, TRABALHO E FORMAÇÃO HUMANA",EDUCAÇÃO,15/05/2016,-
20001010008P8,EDUCAÇÃO,"HISTÓRIA, POLÍTICAS EDUCACIONAIS TRABALHO E FORMAÇÃO HUMANA",Políticas e Práticas Educativas,12/03/2019,-
20001010008P8,EDUCAÇÃO,"INSTITUIÇÕES EDUCATIVAS,CURRÍCULO FORMAÇÃO E TRABALHO DOCENTE",EDUCAÇÃO,15/05/2016,-
20001010008P8,EDUCAÇÃO,HISTÓRIA E POLÍTICAS EDUCACIONAIS,Políticas e Práticas Educativas,17/03/2020,-
20001010009P4,CIÊNCIAS DA SAÚDE,PESQUISA BÁSICA E CLÍNICA DE DOENÇAS INFECCIOSAS E PARASITÁRIAS,CIÊNCIAS DA SAÚDE,01/01/2012,-
20001010009P4,CIÊNCIAS DA SAÚDE,BIOTECNOLOGIA APLICADA AO ESTUDO DE PRODUTOS NATURAIS E SINTÉTICOS.,CIÊNCIAS DA SAÚDE,01/01/2012,-
20001010009P4,CIÊNCIAS DA SAÚDE,PESQUISA BÁSICA E CLÍNICO-CIRÚRGICA DE DOENÇAS CRÔNICAS NÃO TRANSMISSÍVEIS,CIÊNCIAS DA SAÚDE,01/01/2012,-
20001010009P4,CIÊNCIAS DA SAÚDE,BIOCIÊNCIAS APLICADAS À SAÚDE HUMANA E ANIMAL,CIÊNCIAS DA SAÚDE,01/01/2012,-
20001010010P2,SUSTENTABILIDADE DE ECOSSISTEMAS,SUSTENTABILIDADE DE ECOSSISTEMAS AQUÁTICOS,SUSTENTABILIDADE DE ECOSSISTEMAS,01/01/2012,-
20001010010P2,SUSTENTABILIDADE DE ECOSSISTEMAS,SUSTENTABILIDADE DE ECOSSISTEMAS TERRESTRES,SUSTENTABILIDADE DE ECOSSISTEMAS,01/01/2012,-
20001010011P9,CIÊNCIAS SOCIAIS,"RELAÇÕES DE PRODUÇÃO E AÇÃO COLETIVA: QUESTÃO AGRÁRIA, TRABALHO E AMBIENTE",CIÊNCIAS SOCIAIS,01/01/2012,-
20001010011P9,CIÊNCIAS SOCIAIS,"RELAÇÕES DE PODER: ELITES, PARTICIPAÇÃO POLÍTICA E POLÍTICAS PÚBLICAS",CIÊNCIAS SOCIAIS,01/01/2012,-
20001010011P9,CIÊNCIAS SOCIAIS,"PRODUÇÃO SOCIAL DA DIFERENÇA: MINORIAS NACIONAIS, QUESTÕES ÉTNICAS, RACIAIS E DE GÊNERO",CIÊNCIAS SOCIAIS,01/01/2012,-
20001010011P9,CIÊNCIAS SOCIAIS,"SOCIABILIDADES E SISTEMAS SIMBÓLICOS: CIDADE, RELIGIÃO E CULTURA POPULAR",CIÊNCIAS SOCIAIS,01/01/2012,-
20001010012P5,BIODIVERSIDADE E CONSERVAÇÃO,BIOLOGIA DE POPULAÇÕES E COMUNIDADES DE ÁREAS DE TRANSIÇÃO,BIODIVERSIDADE E CONSERVAÇÃO EM ÁREAS DE TRANSIÇÃO,01/01/2012,-
20001010012P5,BIODIVERSIDADE E CONSERVAÇÃO,ECOTOXICOLOGIA E BIOPROSPECÇÃO,BIODIVERSIDADE E CONSERVAÇÃO EM ÁREAS DE TRANSIÇÃO,01/01/2012,-
20001010012P5,BIODIVERSIDADE E CONSERVAÇÃO,DIVERSIDADE ANIMAL E VEGETAL DE ÁREAS DE TRANSIÇÃO,BIODIVERSIDADE E CONSERVAÇÃO EM ÁREAS DE TRANSIÇÃO,01/01/2012,-
20001010013P1,FÍSICA,DEFEITOS TOPOLÓGICOS EM TEORIA DE CAMPOS E GRAVITAÇÃO,FÍSICA DAS PARTÍCULAS ELEMENTARES E CAMPOS,01/01/2013,-
20001010013P1,FÍSICA,SÍNTESE E CARACTERIZAÇÃO DE MATERIAIS,FÍSICA DA MATÉRIA CONDENSADA,01/01/2012,-
20001010013P1,FÍSICA,"CARACTERIZAÇÃO DE MATERIAIS, MODELAGEM COMPUTACIONAL E TEORIAS DE PARTÍCULAS E CAMPOS",FÍSICA DAS PARTÍCULAS ELEMENTARES E CAMPOS,01/01/2012,-
20001010013P1,FÍSICA,MODELAGEM COMPUTACIONAL DE PROPRIEDADES FÍSICAS E QUÍMICAS DA MATÉRIA,FÍSICA DA MATÉRIA CONDENSADA,01/01/2012,-
20001010013P1,FÍSICA,TEORIA DE CAMPOS E GRAVITAÇÃO,FÍSICA DAS PARTÍCULAS ELEMENTARES E CAMPOS,01/01/2012,-
20001010013P1,FÍSICA,ESTUDO DAS PROPRIEDADES FÍSICAS DE SISTEMAS BIOLÓGICOS E NANOESTRUTURADOS E SUAS INTERAÇÕES.,FÍSICA DA MATÉRIA CONDENSADA,01/01/2018,-
20001010013P1,FÍSICA,TEORIA DE CAMPOS E PARTICULAS SOB OS EFEITOS DA VIOLAÇÃO DA SIMETRIA DE LORENTZ,FÍSICA DAS PARTÍCULAS ELEMENTARES E CAMPOS,01/01/2016,-
20001010013P1,FÍSICA,FUNDAMENTOS E APLICAÇÕES DA GEOMETRIA DA INFORMAÇÃO QUÂNTICA,FÍSICA DA MATÉRIA CONDENSADA,01/03/2021,-
20001010013P1,FÍSICA,TEORIA DE CAMPOS APLICADA À FÍSICA DA MATÉRIA CONDENSADA,FÍSICA DAS PARTÍCULAS ELEMENTARES E CAMPOS,03/01/2022,-
20001010014P8,Saúde do Adulto,DOENÇAS INFECCIOSAS E ENDEMIAS NO MARANHÃO,PROCESSOS BIOLÓGICOS EM SAÚDE,01/01/2024,-
20001010014P8,Saúde do Adulto,ALTERAÇÕES ENDÓCRINAS E CLIMATÉRIO,SAÚDE E METABOLISMO HUMANO,01/01/2024,-
20001010014P8,Saúde do Adulto,ESTUDOS CLÍNICOS E EPIDEMIOLÓGICOS EM SAÚDE DO ADULTO,SAÚDE E METABOLISMO HUMANO,01/01/2024,-
20001010014P8,Saúde do Adulto,PESQUISAS EM ONCOLOGIA E ÁREAS CORRELATAS,PROCESSOS BIOLÓGICOS EM SAÚDE,01/01/2024,-
22003010017P5,BIOTECNOLOGIA - Rede RENORBIO,"DESENVOLVIMENTO DE AGENTES PROFILÁTICOS, TERAPÊUTICOS E TESTES DIAGNÓSTICOS",BIOTECNOLOGIA EM SAÚDE,01/01/2012,-
22003010017P5,BIOTECNOLOGIA - Rede RENORBIO,"BIOPROSPECÇÃO, BIODIVERSIDADE E CONSERVAÇÃO",BIOTECNOLOGIA EM RECURSOS NATURAIS,01/01/2012,-
22003010017P5,BIOTECNOLOGIA - Rede RENORBIO,GENÉTICA E TRANSGÊNESE,BIOTECNOLOGIA EM AGROPECUÁRIA,01/01/2012,-
22003010017P5,BIOTECNOLOGIA - Rede RENORBIO,"PURIFICAÇÃO, CARACTERIZAÇÃO E PRODUÇÃO DE INSUMOS BIOTECNOLÓGICOS EM SISTEMAS HETERÓLOGOS",BIOTECNOLOGIA EM RECURSOS NATURAIS,01/01/2012,-
22003010017P5,BIOTECNOLOGIA - Rede RENORBIO,BIOPROCESSOS,BIOTECNOLOGIA INDUSTRIAL,01/01/2012,-
22003010017P5,BIOTECNOLOGIA - Rede RENORBIO,SANIDADE,BIOTECNOLOGIA EM AGROPECUÁRIA,01/01/2012,-
22003010017P5,BIOTECNOLOGIA - Rede RENORBIO,CONSERVAÇÃO E MULTIPLICAÇÃO DE GERMOPLASMA,BIOTECNOLOGIA EM AGROPECUÁRIA,01/01/2012,-
22003010017P5,BIOTECNOLOGIA - Rede RENORBIO,SEQUENCIAMENTO EM LARGA ESCALA DE ADENOCARCINOMAS GÁSTRICOS - PERFIL INTEGRATIVO MORFO-MOLECULAR DE VALOR PREDITIVO E PROGNÓSTICO,BIOTECNOLOGIA EM SAÚDE,12/04/2023,-
20001010015P4,SAÚDE COLETIVA,"AGRAVOS E DETERMINANTES DA SAÚDE DE CRIANÇAS, ADOLESCENTES E ADULTOS",SAÚDE COLETIVA,12/03/2007,-
20001010015P4,SAÚDE COLETIVA,EPIDEMIOLOGIA DAS DOENÇAS TRANSMISSÍVEIS,SAÚDE COLETIVA,01/01/2012,-
20001010015P4,SAÚDE COLETIVA,MODELAGEM ESTATÍSTICA APLICADA À SAÚDE,SAÚDE COLETIVA,01/01/2012,-
20001010015P4,SAÚDE COLETIVA,AVALIAÇÃO EM SAÚDE E SERVIÇOS DE SAÚDE,SAÚDE COLETIVA,01/01/2012,-
20001010015P4,SAÚDE COLETIVA,"FREQUÊNCIA, FATORES ETIOLÓGICOS E CONSEQUÊNCIAS DOS AGRAVOS E INTERVENÇÕES EM SAÚDE PERINATAL",SAÚDE COLETIVA,01/01/2012,-
20001010015P4,SAÚDE COLETIVA,ESTUDOS EPIDEMIOLÓGICOS E DE INTERVENÇÃO EM SAÚDE BUCAL,SAÚDE COLETIVA,01/01/2012,-
20001010015P4,SAÚDE COLETIVA,GESTÃO DO CUIDADO E SUBJETIVIDADE,SAÚDE COLETIVA,05/08/2016,-
20001010017P7,ODONTOLOGIA,ALTERAÇÕES BUCAIS RELACIONADAS ÀS DOENÇAS SISTÊMICAS,ODONTOLOGIA,01/01/2012,-
20001010017P7,ODONTOLOGIA,ESTUDO DOS MATERIAIS ODONTOLÓGICOS APLICADOS À REABILITAÇÃO ORAL.,ODONTOLOGIA,01/01/2012,-
20001010017P7,ODONTOLOGIA,"ETIOLOGIA, DIAGNÓSTICO, PREVENÇÃO E TRATAMENTO DAS DOENÇAS BUCAIS",ODONTOLOGIA,02/01/2017,-
20001010017P7,ODONTOLOGIA,INOVAÇÃO E TECNOLOGIA APLICADAS À EDUCAÇÃO NA ÁREA ODONTOLOGIA E SAÚDE,ODONTOLOGIA,03/02/2020,-
20001010019P0,MATEMATICA,SISTEMAS DINÂMICOS E TEORIA ERGÓDICA,MATEMÁTICA PURA.,01/01/2013,-
